"","means_control","means_uc","fold_change","hmr","mar"
"HMR_6664",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6664","MAR06664"
"HMR_6665",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6665","MAR06665"
"HMR_6668",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6668","MAR06668"
"HMR_6669",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6669","MAR06669"
"HMR_6672",0,0.000257704121702739,0.00209679990786767,"HMR_6672","MAR06672"
"HMR_6673",-0.000541826697892272,-0.000558017325663355,0.00206527377423165,"HMR_6673","MAR06673"
"HMR_6675",-0.000386697892271663,-0.000640647665505865,0.00203790696049222,"HMR_6675","MAR06675"
"HMR_6676",0.000155128805620609,0.000171319433391692,0.00206900095699614,"HMR_6676","MAR06676"
"HMR_6677",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6677","MAR06677"
"HMR_6678",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6678","MAR06678"
"HMR_6682",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6682","MAR06682"
"HMR_6687",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6687","MAR06687"
"HMR_6690",-0.000775644028103044,-0.000775644028103044,0.0020671373656139,"HMR_6690","MAR06690"
"HMR_6691",-0.000775644028103044,-0.000775644028103044,0.0020671373656139,"HMR_6691","MAR06691"
"HMR_6692",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6692","MAR06692"
"HMR_6693",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6693","MAR06693"
"HMR_6700",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6700","MAR06700"
"HMR_6701",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6701","MAR06701"
"HMR_6702",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6702","MAR06702"
"HMR_6703",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_6703","MAR06703"
"HMR_8698",2.41615925058548e-05,0.00063824855285677,0.00213782067594881,"HMR_8698","MAR08698"
"HMR_8702",-0.000154903981264637,-0.000199220572519952,0.0020620363887573,"HMR_8702","MAR08702"
"HMR_8709",-0.00696608857579349,-0.0142179449753285,0.00123242624245363,"HMR_8709","MAR08709"
"HMR_8711",-0.000426604215456674,-0.000350169391328073,0.00207593525051148,"HMR_8711","MAR08711"
"HMR_4204",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_4204","MAR04204"
"HMR_8613",0.000387822014051522,0.000387822014051522,0.0020671373656139,"HMR_8613","MAR08613"
"HMR_8615",0.000775644028103044,0.000775644028103045,0.0020671373656139,"HMR_8615","MAR08615"
"HMR_8616",0.000775644028103044,0.000775644028103045,0.0020671373656139,"HMR_8616","MAR08616"
"HMR_2129",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2129","MAR02129"
"HMR_2130",-0.000386697892271663,-0.000386697892271663,0.0020671373656139,"HMR_2130","MAR02130"
"HMR_2131",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2131","MAR02131"
"HMR_2132",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2132","MAR02132"
"HMR_2133",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2133","MAR02133"
"HMR_2134",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2134","MAR02134"
"HMR_2135",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2135","MAR02135"
"HMR_2136",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2136","MAR02136"
"HMR_2137",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2137","MAR02137"
"HMR_2139",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2139","MAR02139"
"HMR_2142",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2142","MAR02142"
"HMR_2143",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2143","MAR02143"
"HMR_2144",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2144","MAR02144"
"HMR_2145",0.000386697892271663,0.000386697892271663,0.0020671373656139,"HMR_2145","MAR02145"
"HMR_6426",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6426","MAR06426"
"HMR_6428",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6428","MAR06428"
"HMR_6432",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6432","MAR06432"
"HMR_6433",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6433","MAR06433"
"HMR_6434",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6434","MAR06434"
"HMR_6435",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6435","MAR06435"
"HMR_6436",0.000775644028103044,0.000775644028103044,0.0020671373656139,"HMR_6436","MAR06436"
