"","means_1","means_2","means_3","hmr","mar"
"HMR_6665",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6665","MAR06665"
"HMR_6668",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6668","MAR06668"
"HMR_6669",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6669","MAR06669"
"HMR_6672",0.000220510102903804,0.000131031434508691,0.000563536933995148,"HMR_6672","MAR06672"
"HMR_6673",-0.000548544874513637,-0.000577877758353399,-0.000539056540649047,"HMR_6673","MAR06673"
"HMR_6675",-0.000601118264588706,-0.000517729326780354,-0.000950234826266812,"HMR_6675","MAR06675"
"HMR_6676",0.000161846982241974,0.000191179866081736,0.000152358648377384,"HMR_6676","MAR06676"
"HMR_6677",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6677","MAR06677"
"HMR_6678",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6678","MAR06678"
"HMR_6682",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6682","MAR06682"
"HMR_6687",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6687","MAR06687"
"HMR_6690",-0.000775644028103044,-0.000775644028103044,-0.000775644028103044,"HMR_6690","MAR06690"
"HMR_6691",-0.000775644028103044,-0.000775644028103044,-0.000775644028103044,"HMR_6691","MAR06691"
"HMR_6692",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6692","MAR06692"
"HMR_6693",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6693","MAR06693"
"HMR_6700",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6700","MAR06700"
"HMR_6701",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6701","MAR06701"
"HMR_6702",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6702","MAR06702"
"HMR_6703",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_6703","MAR06703"
"HMR_8698",0.000678199429443025,0.000494729153399648,0.000382333439570442,"HMR_8698","MAR08698"
"HMR_8702",-0.000201191244537056,-0.000185432595573441,-0.000193589829374373,"HMR_8702","MAR08702"
"HMR_8709",-0.0127671792061695,-0.0174539210815111,-0.00741279573081159,"HMR_8709","MAR08709"
"HMR_8711",-0.000342016264360397,-0.000393284295939572,-0.000332418869187019,"HMR_8711","MAR08711"
"HMR_4204",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_4204","MAR04204"
"HMR_8613",0.000387822014051523,0.000387822014051522,0.000387822014051522,"HMR_8613","MAR08613"
"HMR_8615",0.000775644028103045,0.000775644028103044,0.000775644028103044,"HMR_8615","MAR08615"
"HMR_8616",0.000775644028103045,0.000775644028103044,0.000775644028103044,"HMR_8616","MAR08616"
"HMR_2129",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2129","MAR02129"
"HMR_2130",-0.000386697892271663,-0.000386697892271663,-0.000386697892271663,"HMR_2130","MAR02130"
"HMR_2131",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2131","MAR02131"
"HMR_2132",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2132","MAR02132"
"HMR_2133",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2133","MAR02133"
"HMR_2134",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2134","MAR02134"
"HMR_2135",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2135","MAR02135"
"HMR_2136",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2136","MAR02136"
"HMR_2137",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2137","MAR02137"
"HMR_2139",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2139","MAR02139"
"HMR_2142",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2142","MAR02142"
"HMR_2143",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2143","MAR02143"
"HMR_2144",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2144","MAR02144"
"HMR_2145",0.000386697892271663,0.000386697892271663,0.000386697892271663,"HMR_2145","MAR02145"
"HMR_6426",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6426","MAR06426"
"HMR_6428",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6428","MAR06428"
"HMR_6432",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6432","MAR06432"
"HMR_6433",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6433","MAR06433"
"HMR_6434",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6434","MAR06434"
"HMR_6435",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6435","MAR06435"
"HMR_6436",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6436","MAR06436"
"HMR_6441",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6441","MAR06441"
"HMR_6443",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6443","MAR06443"
"HMR_6447",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6447","MAR06447"
"HMR_6448",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6448","MAR06448"
"HMR_6450",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6450","MAR06450"
"HMR_6451",0.000775644028103044,0.000764719464326945,0.000775644028103044,"HMR_6451","MAR06451"
"HMR_6453",0.000775644028103044,0.000775644028103044,0.000775644028103044,"HMR_6453","MAR06453"
"HMR_6490",0.000366445997530003,0.000360510604611832,0.000249314151890264,"HMR_6490","MAR06490"
"HMR_6492",-0.000409198030572984,-0.000415133423491212,-0.00052632987621278,"HMR_6492","MAR06492"
"HMR_5127",-0.0229403603650682,-0.0414865022676067,-0.0114208747404203,"HMR_5127","MAR05127"
"HMR_5406",-0.00011053715097232,-0.000903895032505853,0,"HMR_5406","MAR05406"
"HMR_8617",0.000775644028103045,0.000775644028103044,0.000775644028103044,"HMR_8617","MAR08617"
"HMR_8749",0.00011053715097232,0.000903895032505853,0,"HMR_8749","MAR08749"
"HMR_0018",-0.478662295081967,-0.478662295081967,-0.478662295081967,"HMR_0018","MAR00018"
"HMR_0167",-58.9974322668851,-57.7296041584071,-66.7545784743468,"HMR_0167","MAR00167"
"HMR_0173",-0.000464047693385573,-0.000350238340479946,-0.000379500205609609,"HMR_0173","MAR00173"
"HMR_0352",0.00027530834617755,0.000282419011553911,0.00029016393442623,"HMR_0352","MAR00352"
"HMR_0376",7.86767315799417e-05,0.000177471366940531,0.00019532695474487,"HMR_0376","MAR00376"
"HMR_0770",-0.0155299668039677,-0.00580030381949474,-0.0226429145854193,"HMR_0770","MAR00770"
"HMR_3959",-11.7855931949013,-18.6601523590937,-5.14756284117633,"HMR_3959","MAR03959"
"HMR_4063",-0.000775644028103044,-0.000775644028103044,-0.000775644028103044,"HMR_4063","MAR04063"
"HMR_4845",0.880817354632236,20.7716894066149,0,"HMR_4845","MAR04845"
"HMR_4847",0.0253984738028368,0.0126647925497212,0.0510819816589988,"HMR_4847","MAR04847"
"HMR_4848",0,0,0.000398739474431014,"HMR_4848","MAR04848"
"HMR_4858",0,-107.622237762015,0,"HMR_4858","MAR04858"
"HMR_4885",-770.842624491317,-733.886443079295,-773.043009325973,"HMR_4885","MAR04885"
"HMR_4896",-0.00139169619901383,-0.000517533322865711,-0.00103409130824919,"HMR_4896","MAR04896"
"HMR_4919",0.00033929771770776,0.00901735918872079,0.000169535535379557,"HMR_4919","MAR04919"
"HMR_4947",-1.12674628518363,-1.11519845719811,-1.12867004475032,"HMR_4947","MAR04947"
"HMR_4958",0.00392149697862801,0.00241590319218132,0,"HMR_4958","MAR04958"
"HMR_4969",-0.0353283372365341,-0.0353283372365383,-0.0353283372365221,"HMR_4969","MAR04969"
"HMR_4983",0.00248241806332115,0.00256687791769259,0.00884113558624147,"HMR_4983","MAR04983"
"HMR_4985",-0.610820681143471,-0.590006605403287,-0.622972146692524,"HMR_4985","MAR04985"
"HMR_4990",-0.219341047498571,-0.487749806349615,-0.0757244489938088,"HMR_4990","MAR04990"
"HMR_5003",-0.0927175135098497,-0.118192915029435,-0.113176106994377,"HMR_5003","MAR05003"
"HMR_5029",-0.00212820839828084,-112.658358771763,-0.00660035343150429,"HMR_5029","MAR05029"
"HMR_5034",-0.00807766373842984,-0.00183451835065536,-0.0075968043938889,"HMR_5034","MAR05034"
"HMR_5037",-0.015310026639025,-0.0222351574336313,-0.00720503493974597,"HMR_5037","MAR05037"
"HMR_5038",0.0231459847054542,0,0,"HMR_5038","MAR05038"
"HMR_5041",0.00436126795625957,0.00142186891842861,0.00360545332887254,"HMR_5041","MAR05041"
"HMR_5070",-0.0181422633646204,0,668.8489863178,"HMR_5070","MAR05070"
"HMR_5073",0,0,0.424069601674086,"HMR_5073","MAR05073"
