"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
ENST00000505638.2	ENSG00000249311.4	TERF1P3
ENST00000560385.2	ENSG00000259419.2	HNRNPCP3
ENST00000553858.1	ENSG00000258726.1	DUXAP6
ENST00000511476.1	ENSG00000249282.1	TAF11-like
ENST00000603736.1	ENSG00000270513.1	NADH
ENST00000529668.1	ENSG00000255377.1	DUXAP5
ENST00000477071.2	ENSG00000242697.2	RPL5P12
ENST00000507326.2	ENSG00000250897.2	HMGB3P15
ENST00000510507.2	ENSG00000249965.2	CDC42P4
ENST00000512633.1	ENSG00000248128.1	transmembrane
ENST00000503270.2	ENSG00000248565.2	TECRP2
ENST00000489612.1	ENSG00000231167.3	YBX1P2
ENST00000416440.2	ENSG00000223920.2	sepiapterin
ENST00000616602.2	ENSG00000273716.2	ribosomal
ENST00000421785.1	ENSG00000237959.1	RPL36AP10
ENST00000600430.1	ENSG00000269776.1	DPPA5P1
ENST00000482584.1	ENSG00000213755.3	ribosomal
ENST00000558497.1	ENSG00000259665.1	transmembrane
ENST00000560455.2	ENSG00000259229.2	zinc
ENST00000502314.1	ENSG00000250444.1	CCT5P1
ENST00000505179.1	ENSG00000251050.1	RBX1P2
ENST00000512613.1	ENSG00000248422.1	TAF11-like
ENST00000501056.2	ENSG00000244921.2	MTCYBP18
ENST00000605540.1	ENSG00000270553.1	splicing
ENST00000465845.2	ENSG00000240995.2	ribosomal
ENST00000402141.1	ENSG00000218896.1	TUBB8P2
ENST00000403971.2	ENSG00000217085.2	HMGB3P19
ENST00000469685.3	ENSG00000243859.3	RPL5P17
ENST00000509821.1	ENSG00000248170.1	cytochrome
ENST00000514578.1	ENSG00000249721.1	ribosomal
ENST00000497246.1	ENSG00000205767.4	ribosomal
ENST00000603606.1	ENSG00000270878.1	GCATP1
ENST00000554777.2	ENSG00000258645.2	HSPE1P2
ENST00000403538.1	ENSG00000217027.1	TPT1P4
ENST00000611326.1	ENSG00000276620.1	ribosomal
ENST00000404829.2	ENSG00000216990.2	HSPD1P10
ENST00000401674.1	ENSG00000220340.1	MTCO1P56
ENST00000557650.2	ENSG00000258778.2	EIF2S2P1
ENST00000397772.2	ENSG00000214200.2	TPM3P2
ENST00000425307.1	ENSG00000228958.1	PIGPP3
ENST00000619829.1	ENSG00000274594.1	transmembrane
ENST00000405771.3	ENSG00000220378.3	KRT8P42
ENST00000605877.1	ENSG00000270701.1	ribosomal
ENST00000533003.1	ENSG00000230716.3	KRT8P7
ENST00000485187.1	ENSG00000241905.1	NDUFS6P1
ENST00000506026.1	ENSG00000249360.1	TOMM40P3
ENST00000509661.1	ENSG00000223620.3	RBM48P1
ENST00000568660.1	ENSG00000260082.1	chromosome
ENST00000463873.1	ENSG00000241438.1	TDGF1P6
ENST00000454986.1	ENSG00000214602.3	CTBP2P5
ENST00000618617.1	ENSG00000278631.1	SOWAHCP5
ENST00000605365.1	ENSG00000271707.1	ATP1B3P1
ENST00000443948.1	ENSG00000203363.2	GPR160P1
ENST00000431026.1	ENSG00000233275.1	pseudogene
ENST00000417340.1	ENSG00000229505.1	novel
ENST00000458048.1	ENSG00000228187.1	novel
ENST00000448312.2	ENSG00000236090.2	LDHAP3
ENST00000455192.1	ENSG00000230118.1	ribosomal
ENST00000458451.1	ENSG00000227968.1	BUB3P1
ENST00000438801.1	ENSG00000236407.1	HMGB1P18
