"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","",13073.0983990131,1.60066009699357,0.184049068986439,8.69692036916258,3.41012567060031e-18,1.97660334888467e-17
"2","1-aminocyclopropane-1-carboxylate",0.286827346449215,0.349446538297759,0.679401534687129,0.514344640770766,0.607011056269365,0.667215172895973
"3","3-hydroxy-3-methylglutaryl-Coenzyme",0.102431452222336,-0.536823299378553,1.45429786600759,-0.369128850372495,0.712031685596474,NA
"4","3-hydroxyisobutyryl-Coenzyme",0.162323563561036,-0.671481992655428,0.975672463724771,-0.688224806603589,0.491311224745111,NA
"5","40S",13.6839100259551,0.336381778218952,0.210249283844773,1.59991878244542,0.109616602007701,0.146626347891692
"6","5-azacytidine",0.628028876009268,1.21049100443375,0.524124023411713,2.30955069861944,0.0209130417687741,0.0316697329588596
"7","5-nucleotidase
"11418","KRT39",1.73685435419973,-0.72492814241141,0.404471614081598,-1.79228434622649,0.0730874294980508,0.101068288987004
"11419","KRT4",0.59201672830809,-0.824456792645198,0.524487510643812,-1.57192836037825,0.11596716647154,0.154137056692669
"11420","KRT40",20.0563747059423,-1.70767914188244,0.248895880742589,-6.86101809635226,6.83715006870941e-12,2.46603771783245e-11
"11421","KRT41P",0,NA,NA,NA,NA,NA
"11422","KRT42P",4.82508214500349,1.21528547407792,0.365380651700568,3.32608053661763,0.000880764759924439,0.00159479453379954
"11423","KRT43P",0.0258942153301384,-0.330132456842783,4.48358554404623,-0.0736313500879151,0.9413037250759,NA
"11424","KRT5",18.6378652889085,1.09866349373884,0.225590585486976,4.87016553180705,1.1150479696966e-06,2.68550601359951e-06
"11425","KRT6A",74.4849254791033,3.56008135351378,0.511057977802457,6.96610073248848,3.25845875516617e-12,1.2059201929816e-11
"11426","KRT6B",142.137090889057,5.8418303991565,0.46756498397144,12.4941571747668,8.03432216132776e-36,1.83244662112888e-34
"11427","KRT6C",1.99470555541791,2.34463415501823,0.688856228470783,3.40366256137826,0.000664888362167491,0.00122287096634907
"11428","KRT7",290.827747399788,3.19064250753966,0.284318327295232,11.2220782173727,3.17715029598975e-29,4.20742525907207e-28
"11429","KRT71",0.881808945284618,1.53926378421185,0.554736145804809,2.77476742024569,0.00552411974174501,0.00908463028019682
"11430","KRT72",7.93876054963771,3.08431229851164,0.444612391463907,6.93708128186982,4.00283547526047e-12,1.47024199468119e-11
"11431","KRT73",8.15650502408473,1.68093198486599,0.328267643950454,5.12061427875509,3.04541995864917e-07,7.67948661263238e-07
"11432","KRT74",0.133051945247734,-0.165610484195329,1.8495148328424,-0.0895426634350445,0.928650649217125,NA
"11433","KRT75",1.35596216880701,2.00221747533993,0.67582234910493,2.9626387437345,0.00305014312902787,0.00517043769490435
"11434","KRT76",0.283332991722309,0.177692592666332,1.09157454996202,0.16278557673639,0.870687264882456,0.896683898882162
"11435","KRT77",0.235016162718141,-0.344531139199156,0.919108877528001,-0.374853456019045,0.70776945590042,0.758372739499494
"11436","KRT78",0.523802148896844,0.555904203797066,0.646066648555685,0.86044405022271,0.389544312555698,0.456037986919678
"11437","KRT79",1.66466786728669,0.548208673183848,0.53779045611232,1.01937226098589,0.308026270014002,0.370478410365852
"11438","KRT8",85073.4410410549,-0.756827789234508,0.104726807162219,-7.22668636371396,4.94921298682983e-13,1.94192081142325e-12
"11439","KRT80",90.4875931448679,3.06210564626619,0.301614142958677,10.1523941027053,3.23332513117987e-24,2.9396248759551e-23
"11440","KRT81",4.89847748497201,0.342182137093702,0.234937799880207,1.45647970342865,0.145260056416864,0.189223779261292
"11441","KRT82",0.0973803273732185,-0.0746669117918639,1.5798102757215,-0.0472632144120999,0.962303445947798,NA
"11442","KRT83",0.242104460022819,-0.0609564171972004,0.784782879655092,-0.0776729701646784,0.938088195814491,0.951370034385529
"11443","KRT84",0.452564707058256,0.313591720897821,0.54264415964742,0.577895689693916,0.563334545545723,0.626020347515991
"11444","KRT85",0.219654305492388,-0.132418479184277,1.01035234084983,-0.131061683959575,0.895726511420212,NA
"11445","KRT86",11.4531505954575,0.153388078898262,0.194821931390563,0.787324495776415,0.431091933618349,0.49812914202084
"11446","KRT87P",0.610293841067528,1.50445687732781,0.626747897256625,2.40041790951841,0.0163763634586618,0.0251788553520228
"11447","KRT89P",2.15098897768523,0.138835436739949,0.392854136580675,0.353401997872151,0.723787088249765,0.772397854184385
"11448","KRT8P1",2.0351374488093,0.0379377779198599,0.400823218608171,0.0946496514138978,0.924593110702567,0.941046737876864
"11449","KRT8P11",6.15495992236589,0.106513311434106,0.310565288777393,0.342965924664083,0.731624095289104,0.778574720731997
"11450","KRT8P12",96.5379510499357,-0.047882721391004,0.061835671918261,-0.774354347670046,0.438721272755611,0.505618241850426
"11451","KRT8P14",3.87460550452072,0.406290283931896,0.364906976467298,1.11340782756535,0.265533314712722,0.325030405976153
"11452","KRT8P15",1.49924288825725,0.266694996679909,0.392942428657295,0.678712649054519,0.497319949927005,0.56355386794862
"11453","KRT8P17",2.83105983066007,0.167048032750978,0.374315446498376,0.446276086957322,0.655397827562791,0.711333654158772
"11454","KRT8P18",3.05941449878934,-0.756206402269992,0.35465600503366,-2.1322250054619,0.0329883537578991,0.0482892982013644
"11455","KRT8P2",0.921747460976416,0.427954946947656,0.544731038151275,0.785626147538908,0.432086541249105,0.499040812631616
"11456","KRT8P20",2.21960863257121,0.415477044562759,0.401895455293501,1.03379383640788,0.301232553691945,0.363469880726194
"11457","KRT8P22",2.20152660572089,0.519368764829444,0.41996999760995,1.23668063858174,0.216205669417354,0.270347524168269
"11458","KRT8P25",0.727991040921055,0.348978386032257,0.569322940519561,0.612970883825234,0.539895591952117,0.603743786301883
"11459","KRT8P26",1.33991836376139,0.714976616676783,0.457438602141536,1.56300017823061,0.118052552900791,0.156646703828962
"11460","KRT8P27",0.141224655549053,-0.0950415086741167,1.06240959900959,-0.0894584431115055,0.92871757871112,NA
"11461","KRT8P28",0.487295621874588,-0.100234699013881,0.536622417845105,-0.186788131991186,0.851826752448853,0.881145879390204
"11462","KRT8P29",0.977889821055405,0.0645391145164119,0.445965529288277,0.144717719818863,0.884933748049645,0.908559537998491
"11463","KRT8P30",1.80475595422166,0.561527582135239,0.427071430439109,1.31483293452312,0.188566056132893,0.239323576478883
"11464","KRT8P37",4.5035838451313,-0.0821627715212614,0.30252072594098,-0.271593859447802,0.785934321493168,0.825825912165573
"11465","KRT8P40",0.857430234429979,0.613981202400761,0.526884340084261,1.16530546780451,0.243895366626893,0.301324412838207
"11466","KRT8P41",5.99044697624528,0.117610704099492,0.244730856274001,0.480571620146725,0.630820989698908,0.688615407943296
"11467","KRT8P46",10.7755847122531,-0.109445202435583,0.175118405715779,-0.624978293904837,0.531985304380459,0.596146874804313
"11468","KRT8P47",4.4398549998484,-0.0183648191565443,0.284665500385931,-0.0645136805536549,0.948561214297517,0.959257664616615
"11469","KRT8P48",4.97782034834473,-0.0189344362527427,0.348245186247915,-0.0543709920494445,0.956639589648688,0.965728290329307
"11470","KRT8P5",3.25923304613591,0.381652392116286,0.35055034321469,1.08872348723546,0.2762758411187,0.336874115292394
"11471","KRT8P51",0.788173164068902,0.552407835933282,0.571090015426311,0.967286804201817,0.333400678497871,0.397703815478706
"11472","KRT8P52",1.39336021806632,0.0232888975164481,0.357960922400189,0.0650598879908233,0.94812631748236,0.958990888656254
"11473","KRT8P6",0.2340036909109,0.115991025631379,0.806341853435927,0.143848449807146,0.885620143283653,0.909014494914595
"11474","KRT8P8",6.38777150224386,0.0311450791503639,0.320283836480518,0.0972421196542599,0.922534119873667,0.939420219265459
"11475","KRT9",4.07321773711157,-2.44728759708541,0.325260108675828,-7.5240938922655,5.30871864968103e-14,2.25104156819707e-13
"11476","KRT90P",0.0392050581286623,-0.259105026626852,2.59563701995034,-0.0998232898650095,0.920484617761261,NA
"11477","KRTAP1-1",0.0575820847383978,-0.40554564021948,2.38222940990495,-0.170237861447467,0.86482307714574,NA
"11478","KRTAP1-3",0,NA,NA,NA,NA,NA
"11479","KRTAP1-4",0.00472817151710923,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11480","KRTAP1-5",0.409089285414143,0.519285790450592,0.753569686453446,0.689101220212993,0.490759572203839,0.557189933094144
"11481","KRTAP10-1",0.0173836453794591,-0.344348059419588,4.68284337869574,-0.0735339689100377,0.941381213951812,NA
"11482","KRTAP10-10",0.0506724190387872,-0.244899942701894,2.55739738145231,-0.0957613957369501,0.923710078143178,NA
"11483","KRTAP10-11",0.043907918969909,-0.275669644237233,2.75630572051827,-0.100014175563006,0.920333071402224,NA
"11484","KRTAP10-12",0.0255799028735864,-0.344343601571951,4.48635403726368,-0.076753550591824,0.938819602934493,NA
"11485","KRTAP10-13P",0.0140245930158347,-0.358495151700319,5.10183920643297,-0.070267826404307,0.943980489997604,NA
"11486","KRTAP10-2",0.129641624699315,-0.00929740236333804,1.45554120443127,-0.00638759132000722,0.994903474162571,NA
"11487","KRTAP10-3",0.0450669353069809,-0.273293864108795,3.20093298880325,-0.0853794393899426,0.931959738458576,NA
"11488","KRTAP10-4",0.2107499268945,-0.228228640060152,0.940542635666008,-0.24265634688484,0.808271626931473,NA
"11489","KRTAP10-5",0.0155267824615486,-0.358495151700319,5.10183920643297,-0.070267826404307,0.943980489997604,NA
"11490","KRTAP10-6",0.0980656795275747,-0.105283428940761,1.6430727553322,-0.0640771558040194,0.948908791485113,NA
"11491","KRTAP10-7",0.053794381984386,-0.230683124437333,2.72809987203812,-0.084558166950462,0.932612657840527,NA
"11492","KRTAP10-8",0.0169237559662815,-0.358495151700319,5.10183920643297,-0.070267826404307,0.943980489997604,NA
"11493","KRTAP10-9",0.0120820162467819,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"11494","KRTAP11-1",0.0068471699361448,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11495","KRTAP12-1",0.0591285733410643,-0.191097064483313,2.25415456152212,-0.0847754931029549,0.932439877057408,NA
"11496","KRTAP12-2",0.0041008055127644,-0.559133906559362,5.10183965265858,-0.109594566788863,0.912730919776667,NA
"11497","KRTAP12-3",0.0160476385190881,-0.358495151700319,5.10183920643297,-0.0702678264043069,0.943980489997604,NA
"11498","KRTAP12-4",0.0414081985636952,-0.27329345771367,3.2233364240619,-0.0847858931737812,0.932431608770181,NA
"11499","KRTAP12-6P",0.00314884311725821,-0.40079742477742,5.10183956735605,-0.0785593940158193,0.937383086554603,NA
"11500","KRTAP13-1",0.0170210790325348,-0.36015427070461,5.10183929606427,-0.0705930253393997,0.943721661538147,NA
"11501","KRTAP13-2",61.7049446276686,-2.58168224500559,0.508405059066709,-5.07800266532525,3.81423346248615e-07,9.52602364141022e-07
"11502","KRTAP13-3",0.00361049254282964,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11503","KRTAP13-4",0.0103084441556693,-0.530862011647113,5.10183948279897,-0.104053060359294,0.917127240981354,NA
"11504","KRTAP13-5P",0.00421497329609279,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11505","KRTAP13-6P",0,NA,NA,NA,NA,NA
"11506","KRTAP15-1",0,NA,NA,NA,NA,NA
"11507","KRTAP16-1",0.456471873994355,0.896614283112301,0.557585537942468,1.60803001889338,0.107828604405124,0.144441495534617
"11508","KRTAP17-1",0.565959454562641,-0.384401363456844,0.601444657372839,-0.639130065825078,0.522738322330125,0.587327221572121
"11509","KRTAP19-1",0,NA,NA,NA,NA,NA
"11510","KRTAP19-10P",0,NA,NA,NA,NA,NA
"11511","KRTAP19-11P",0,NA,NA,NA,NA,NA
"11512","KRTAP19-2",0.0305409297729626,-0.301711358973839,3.29369928571711,-0.0916025820214337,0.92701379992146,NA
"11513","KRTAP19-3",0,NA,NA,NA,NA,NA
"11514","KRTAP19-4",0,NA,NA,NA,NA,NA
"11515","KRTAP19-5",0.00292992440606842,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11516","KRTAP19-6",0.00390730209326163,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11517","KRTAP19-7",0.0290723363480661,-0.33012975308777,3.9743324550859,-0.0830654598774966,0.93379948992576,NA
"11518","KRTAP19-8",0.00320678778265917,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11519","KRTAP19-9P",0.0101217742831031,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11520","KRTAP2-1",0.0326389082998936,-0.344347886764475,4.92821025437445,-0.0698728075692022,0.944294896632534,NA
"11521","KRTAP2-2",0,NA,NA,NA,NA,NA
"11522","KRTAP2-3",0.0629590964394579,-0.230694831414229,2.52628590614786,-0.0913177842827766,0.927240087214667,NA
"11523","KRTAP2-4",0.0132971902836444,-0.372649093850552,5.10183939918458,-0.0730421059334232,0.941772611286011,NA
"11524","KRTAP2-5P",0,NA,NA,NA,NA,NA
"11525","KRTAP20-1",0.00976997614657403,-0.549459767572035,5.10183956971345,-0.107698362534535,0.914234968467568,NA
"11526","KRTAP20-2",0.0179476730319171,-0.372637697888323,5.10183938334423,-0.0730398724634214,0.941774388589968,NA
"11527","KRTAP20-3",0,NA,NA,NA,NA,NA
"11528","KRTAP20-4",0,NA,NA,NA,NA,NA
"11529","KRTAP21-1",0,NA,NA,NA,NA,NA
"11530","KRTAP21-2",0.0101217742831031,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11531","KRTAP21-3",0.00333277761134806,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11532","KRTAP21-4P",0.0056826823506896,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11533","KRTAP22-1",0,NA,NA,NA,NA,NA
"11534","KRTAP22-2",0.00664898720636397,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11535","KRTAP23-1",0,NA,NA,NA,NA,NA
"11536","KRTAP24-1",0.0119207852455389,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"11537","KRTAP25-1",0,NA,NA,NA,NA,NA
"11538","KRTAP26-1",0,NA,NA,NA,NA,NA
"11539","KRTAP27-1",0.00361049254282964,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11540","KRTAP29-1",0.277625993303365,0.436769134192341,0.720215035435597,0.606442677120974,0.544220836294251,0.607974047023623
"11541","KRTAP3-1",0.332987219277045,-0.454284584588422,0.691698618859849,-0.656766649812364,0.511330971339383,0.576516991572994
"11542","KRTAP3-2",0.241877575872281,0.135152099295312,0.690154184791343,0.195828848500242,0.844744129385332,0.875071079832701
"11543","KRTAP3-3",1.00210977616924,-1.26285096414561,0.409819389472391,-3.0814817370438,0.00205973111532959,0.0035645829105125
"11544","KRTAP3-4P",0,NA,NA,NA,NA,NA
"11545","KRTAP4-1",0.329216626026886,-1.20865225011658,0.701727890635975,-1.72239448687323,0.0849980817150683,0.116085343083079
"11546","KRTAP4-11",0.0335936422750864,-0.301709113015886,3.56686196873412,-0.0845867083337018,0.932589966406984,NA
"11547","KRTAP4-12",0.0250431620723004,-0.344343690021007,4.49696186345246,-0.0765725172854019,0.93896362277384,NA
"11548","KRTAP4-16",0.154944012572665,-0.418671413570106,1.09696409591123,-0.381663734602291,0.702710802931471,NA
"11549","KRTAP4-17P",0.0179299138657406,-0.519292515951908,5.10183938602505,-0.101785351646771,0.918927052950495,NA
"11550","KRTAP4-2",0.00417068886828327,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11551","KRTAP4-3",0.0631318151150353,-0.419110302285588,2.89408292904266,-0.144816272567637,0.884855934013293,NA
"11552","KRTAP4-4",0.028740839570113,-0.315919329422652,3.61250336899825,-0.0874516359303096,0.930312527017485,NA
"11553","KRTAP4-5",0.010239171990686,-0.545036142721384,5.10183956734137,-0.106831297912688,0.914922817410059,NA
"11554","KRTAP4-6",0.0759140373755848,-0.188104439408563,2.22339320657545,-0.0846024170858595,0.932577477403365,NA
"11555","KRTAP4-7",0,NA,NA,NA,NA,NA
"11556","KRTAP4-8",0.00879862700939688,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11557","KRTAP4-9",0,NA,NA,NA,NA,NA
"11558","KRTAP5-1",13.461591552655,0.45475415399812,0.187737146698792,2.4222918159491,0.0154229599628266,0.0238014060849021
"11559","KRTAP5-10",1.49597466092552,0.386783380898342,0.410197408971168,0.942920097590201,0.345721774211957,0.410871040436368
"11560","KRTAP5-11",6.44776498987785,-0.248081744776942,0.191654708283037,-1.29442029887715,0.195520282843674,0.247309717424833
"11561","KRTAP5-14P",0.016754214172692,-0.372637697888327,5.10183938334423,-0.0730398724634222,0.941774388589967,NA
"11562","KRTAP5-2",72.0104058009589,-0.393217423040333,0.136346525622643,-2.88395631091191,0.00392713232151571,0.0065662097582506
"11563","KRTAP5-3",0.134184885590069,-0.0527081436410649,1.20759120771127,-0.0436473396829064,0.965185516020098,NA
"11564","KRTAP5-4",1.59923407063248,1.18841647764051,0.49327523237126,2.40923606062195,0.0159859543318927,0.0246140440986906
"11565","KRTAP5-5",6.64309365862671,-0.710412305825145,0.288645412823119,-2.46119381866111,0.0138475536161678,0.0215314621037854
"11566","KRTAP5-6",0.0580182534432262,-0.362715811127415,2.551156459844,-0.142177015340562,0.88694018644262,NA
"11567","KRTAP5-7",0.996935863336083,0.94221728336399,0.502968695995634,1.87331197918562,0.0610253166397979,0.0855919674109646
"11568","KRTAP5-8",1.27273415135726,0.840887358821254,0.518830912298259,1.62073488469757,0.105074508691862,0.141080996818275
"11569","KRTAP5-9",4.65387869020504,-0.0131989334508302,0.234964113886693,-0.0561742524528454,0.955202992332439,0.96475248626405
"11570","KRTAP6-1",0.00879982772166456,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11571","KRTAP6-2",0.00390730209326163,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11572","KRTAP6-3",0.020191309143005,-0.344349880957912,5.10183902733962,-0.0674952461480297,0.946187446421622,NA
"11573","KRTAP7-1",0.0195588791773518,-0.344344790391491,4.62220374081919,-0.0744979688693825,0.940614157285223,NA
"11574","KRTAP8-1",0,NA,NA,NA,NA,NA
"11575","KRTAP8-2P",0,NA,NA,NA,NA,NA
"11576","KRTAP8-3P",0,NA,NA,NA,NA,NA
"11577","KRTAP9-1",0.00485921581058938,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11578","KRTAP9-10P",0.00673055039812716,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11579","KRTAP9-11P",0,NA,NA,NA,NA,NA
"11580","KRTAP9-12P",0.0390651293931516,-0.420436864570169,2.7807131751748,-0.151197494341983,0.879819926798693,NA
"11581","KRTAP9-2",0.013756628083036,-0.372637697888327,5.10183938334423,-0.0730398724634221,0.941774388589967,NA
"11582","KRTAP9-3",0.0077859557242942,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11583","KRTAP9-4",0.0137521662002124,-0.531548927272395,5.10183948316374,-0.10418770112751,0.91702039393106,NA
"11584","KRTAP9-6",0.939255124480435,0.719435801913018,0.493811232460952,1.45690449025966,0.145142746394719,0.189103926904324
"11585","KRTAP9-7",0.00703892628077204,-0.386723261905961,5.10183948286658,-0.0758007505341333,0.939577619004906,NA
"11586","KRTAP9-8",0.00414481533993904,-0.40079742477742,5.10183956735605,-0.0785593940158192,0.937383086554603,NA
"11587","KRTAP9-9",0.0219485876768053,-0.316335208628096,4.08757618017145,-0.0773894343945479,0.938313745707359,NA
"11588","KRTCAP2",1828.71243448862,0.0348136195478324,0.0874622743406483,0.398041553461555,0.690599555769191,0.742441446198337
"11589","KRTCAP3",854.377257158638,-0.820878549287953,0.103907640139701,-7.90007884101978,2.7872707028439e-15,1.30460561915992e-14
"11590","KRTDAP",0.800043737480859,0.455327345401769,0.505440625245149,0.90085229136642,0.367666860337519,0.43370993416643
"11591","Kruppel-like",0,NA,NA,NA,NA,NA
"11592","KSR1",1002.89217378926,1.34514552746426,0.114887039266438,11.7084184260742,1.15412357370453e-31,1.84824646588968e-30
"11593","KSR1P1",0,NA,NA,NA,NA,NA
"11594","KSR2",150.898874691692,-0.796502245144299,0.148818900646985,-5.35215783533901,8.69115383098362e-08,2.29539013889331e-07
"11595","KTI12",260.017713992076,-0.0188452372378995,0.0501136054266351,-0.376050317622594,0.706879488693516,0.757563964460259
"11596","KTN1",8374.760307106,-0.582239883749334,0.0595526490611543,-9.77689310095065,1.41487110914635e-22,1.1288758102157e-21
"11597","KXD1",1744.85517618442,0.109148152195203,0.0412752854990612,2.64439484489297,0.00818371303196673,0.0131413011156492
"11598","KY",18.5585245711838,0.91547614577006,0.188775335747448,4.84955379443649,1.23739509142788e-06,2.96614967922732e-06
"11599","KYAT1",89.4590859573848,0.798748457377578,0.111046921488136,7.19289149733802,6.34333523562205e-13,2.47205937741433e-12
"11600","KYAT3",826.231695079294,-0.148589693073754,0.0572598513180145,-2.59500661726319,0.00945890978709413,0.0150403374061454
"11601","KYNU",878.265625722907,2.66090296987952,0.187906906216088,14.1607513180998,1.60271420715911e-45,8.07479832011398e-44
"11602","KYNUP1",0.0902695072265394,-0.0515408589288357,2.37452502572364,-0.0217057552017707,0.982682672868316,NA
"11603","KYNUP3",0.230159229887564,0.432413556622345,1.34785882792057,0.320815168224597,0.748350463929591,0.793324384193174
"11604","kynurenine",34.5227617154525,0.161657418073413,0.181361941744543,0.891352488390946,0.37274009806583,0.439001523357633
"11605","L1CAM",251.370470528016,-0.141925796572113,0.165330465928684,-0.858437044708584,0.390651179435558,0.457238289895338
"11606","L1TD1",545.32597236284,2.34879690878252,0.20422839397027,11.500834252873,1.30646511146669e-30,1.93084692149526e-29
"11607","L2HGDH",409.057768988958,-0.615214647585178,0.07297995770891,-8.42991236085724,3.45924190182679e-17,1.85763361530435e-16
"11608","L3HYPDH",233.751694347522,1.16169729876107,0.113311077780086,10.2522835500311,1.15580127057048e-24,1.08468248163207e-23
"11609","L3MBTL1",227.908136719834,1.05570848174958,0.094896795943696,11.1248063883627,9.5011925674226e-29,1.20963507871445e-27
"11610","L3MBTL2",994.579557530059,0.0228211302097365,0.03655212259038,0.624344869530031,0.5324011226061,0.596553209497164
"11611","L3MBTL3",369.920844129426,0.20129825911281,0.0928639362707521,2.16766881952871,0.0301838934718415,0.0444802741973634
"11612","L3MBTL4",117.44910744869,-0.168142129163336,0.0971320824465002,-1.73106686203241,0.0834398398894029,0.114151892257775
"11613","La",13.589860311225,1.8187316770361,0.277956621964112,6.54322125583652,6.02076513214129e-11,2.02498581252037e-10
"11614","LACC1",852.821553829907,-0.0495499655332234,0.0762542535900385,-0.64979936463107,0.51582182941902,0.580908449647098
"11615","LACRT",0.0355930415408617,-0.330129556580153,3.89855862718222,-0.0846799004838263,0.93251587565345,NA
"11616","LACTB",851.644357045681,-0.180872792379973,0.0479787884945214,-3.76984909488964,0.000163346283405536,0.000320966141450667
"11617","LACTB2",568.358117642893,-0.145144821592557,0.0693750337985591,-2.09217658926131,0.0364227218831598,0.0529535973426136
"11618","LACTBL1",0.0350890168968756,-0.301709189611092,3.55352138788169,-0.0849042841391044,0.932337485838154,NA
"11619","LAD1",4551.01070951529,-0.676050347350591,0.0950822153044012,-7.11016613555171,1.15903350884927e-12,4.42683667264067e-12
"11620","ladinin",0.0644480673672575,-0.189480181468804,2.11973052471415,-0.0893888063881877,0.92877291906765,NA
"11621","LAG3",463.60143109602,2.13680880453714,0.169006842831686,12.6433271501627,1.2178913095176e-36,2.96472564162698e-35
"11622","LAGE3",306.349550069608,-0.216347627112202,0.0864534920093683,-2.50247412896587,0.0123328638760705,0.0193155995879498
"11623","LAGE3P1",2.36672995927372,0.744549022693627,0.353343456688394,2.10715384309558,0.0351042463967712,0.0511694430931415
"11624","LAIR1",1120.45601837656,1.32096352939623,0.0983571824106796,13.4302701340172,4.01942608018611e-41,1.42813839489338e-39
"11625","LAIR2",15.655787454478,1.85467763606556,0.307707764138334,6.02739954014215,1.66618751127958e-09,5.04060504694215e-09
"11626","LALBA",0.0373694929960159,-0.301711964856393,3.24175892799841,-0.0930704508131585,0.925847592353182,NA
"11627","LAMA1",293.605645064536,-2.12667752724166,0.246987421768848,-8.61046895429348,7.27623036325551e-18,4.13099733462113e-17
"11628","LAMA2",634.722091404813,1.34028175518458,0.130177568842265,10.2957964809481,7.36078656360197e-25,7.01653208996412e-24
"11629","LAMA3",4627.10214911269,0.850537646480862,0.181840176891853,4.67739121804038,2.90547617174676e-06,6.75033945808937e-06
"11630","LAMA4",3096.19983380804,1.30503766223631,0.108498817571552,12.0281279690046,2.52828484400205e-33,4.68464018202694e-32
"11631","LAMA5",2346.10672495969,2.10281642004988,0.128024723283165,16.4250807666178,1.26515255038633e-60,2.16524581524134e-58
"11632","LAMB1",6665.87214342843,0.960891509526737,0.0811217457240796,11.8450546268448,2.28269565334512e-32,3.88300732534125e-31
"11633","LAMB2",2351.40767341021,1.6541201935682,0.118890693018401,13.9129493787389,5.2854169543945e-44,2.36053880712201e-42
"11634","LAMB2P1",11.7473313952979,-0.347315162161107,0.164643437859164,-2.10949896744867,0.0349015350500665,0.0508971260454332
"11635","LAMB3",4317.93105384344,-0.207260780695811,0.124810139644355,-1.66060851535299,0.0967920976499286,0.13086165526813
"11636","LAMB4",6.35802597287883,1.15940147174721,0.294368027510242,3.93861208893305,8.19543058857461e-05,0.000165756927195167
"11637","LAMC1",4852.14611860571,1.10215993183556,0.130529427628351,8.44376591440879,3.07274230402205e-17,1.65882211548698e-16
"11638","LAMC2",6165.03693808503,1.30407826017347,0.190117380371734,6.85933215376534,6.918321118302e-12,2.49370995936223e-11
"11639","LAMC3",448.701444757593,1.94955182008655,0.190810892989982,10.2171935235841,1.66079611721613e-24,1.54118580082722e-23
"11640","laminin",0,NA,NA,NA,NA,NA
"11641","LAMP1",7395.40028117824,-0.265792259741515,0.0529535686581068,-5.01934556021323,5.18478094358332e-07,1.28147711118e-06
"11642","LAMP2",3806.52316538208,-0.282439869801374,0.046496554094636,-6.07442584296707,1.24432120874157e-09,3.79560292516816e-09
"11643","LAMP3",714.52481291827,2.05292797820403,0.172890686052398,11.874138654189,1.61286733049903e-32,2.78800968001451e-31
"11644","LAMP5",112.661837346226,2.19661352200698,0.201576863759728,10.8971509975731,1.18922755661548e-27,1.38722590110922e-26
"11645","LAMTOR1",2193.35305047931,-0.557583746236727,0.0642232546240851,-8.68196028837849,3.89005255119883e-18,2.24607206278336e-17
"11646","LAMTOR2",863.872744701863,-0.46036634799335,0.0849356907729465,-5.42017547398324,5.95405642113459e-08,1.59200888445841e-07
"11647","LAMTOR3",1466.61816398546,-0.690030066249795,0.0638423176055383,-10.8083492600202,3.14274344121757e-27,3.55321774846687e-26
"11648","LAMTOR3P1",0.0383501856523143,-0.43272442061075,2.78112754089387,-0.155593159338414,0.876353717328246,NA
"11649","LAMTOR4",1515.8695879414,-1.01804560032599,0.104728340009705,-9.72082246535798,2.4578807514769e-22,1.93014663566067e-21
"11650","LAMTOR5",1459.3609245693,-0.331325091105059,0.0837874839762224,-3.95435064262205,7.67427934401804e-05,0.000155609426510703
"11651","LANCL1",1304.62895080342,-0.429223854982167,0.0559378274329584,-7.67323070415263,1.67717436494768e-14,7.38747529707801e-14
"11652","LANCL2",672.777870875125,-0.378509046205918,0.051547226371765,-7.34295660208882,2.0892628787951e-13,8.45815704994334e-13
"11653","LANCL3",98.9116205810303,-1.75668310115832,0.161515309888141,-10.8762636952183,1.49568672572757e-27,1.73477994779163e-26
